"";"date";"gesamt"
"1102";2012-12-12;4
"1103";2012-12-13;4
"1104";2012-12-14;3
"1105";2012-12-15;37
"1106";2012-12-16;26
"1107";2012-12-17;179
"1108";2012-12-18;133
"1109";2012-12-19;227
"1110";2012-12-20;174
"1111";2012-12-21;104
"1112";2012-12-22;119
"1113";2012-12-23;71
"1114";2012-12-24;119
"1115";2012-12-25;109
"1116";2012-12-26;70
"1117";2012-12-27;95
"1118";2012-12-28;75
"1119";2012-12-29;141
"1120";2012-12-30;113
"1121";2012-12-31;101
"1122";2013-01-01;96
"1123";2013-01-02;241
"1124";2013-01-03;168
"1125";2013-01-04;121
"1126";2013-01-05;35
"1127";2013-01-06;54
"1128";2013-01-07;333
"1129";2013-01-08;407
"1130";2013-01-09;472
"1131";2013-01-10;326
"1132";2013-01-11;317
"1133";2013-01-12;91
"1134";2013-01-13;54
"1135";2013-01-14;275
"1136";2013-01-15;292
"1137";2013-01-16;266
"1138";2013-01-17;135
"1139";2013-01-18;0
"1140";2013-01-19;0
"1141";2013-01-20;0
"1142";2013-01-21;0
"1143";2013-01-22;0
"1144";2013-01-23;0
"1145";2013-01-24;0
