"";"date";"gesamt"
"864";2013-11-24;554
"865";2013-11-25;1774
"866";2013-11-26;890
"867";2013-11-27;999
"868";2013-11-28;1251
"869";2013-11-29;1383
"870";2013-11-30;939
"871";2013-12-01;762
"872";2013-12-02;2025
"873";2013-12-03;1990
"874";2013-12-04;1921
"875";2013-12-05;1779
"876";2013-12-06;987
"877";2013-12-07;717
"878";2013-12-08;729
"879";2013-12-09;1818
"880";2013-12-10;2141
"881";2013-12-11;2006
"882";2013-12-12;1868
"883";2013-12-13;1783
"884";2013-12-14;949
"885";2013-12-15;673
"886";2013-12-16;1879
"887";2013-12-17;1979
"888";2013-12-18;1827
"889";2013-12-19;1690
"890";2013-12-20;1508
"891";2013-12-21;1077
"892";2013-12-22;673
"893";2013-12-23;1446
"894";2013-12-24;900
"895";2013-12-25;553
"896";2013-12-26;254
"897";2013-12-27;1012
"898";2013-12-28;929
"899";2013-12-29;545
"900";2013-12-30;1182
"901";2013-12-31;719
"902";2014-01-01;428
"903";2014-01-02;1055
"904";2014-01-03;1263
"905";2014-01-04;803
"906";2014-01-05;443
"907";2014-01-06;937
"908";2014-01-07;2434
"909";2014-01-08;2435
"910";2014-01-09;2374
"911";2014-01-10;1854
"912";2014-01-11;1178
"913";2014-01-12;1030
"914";2014-01-13;2167
"915";2014-01-14;1192
"916";2014-01-15;1693
"917";2014-01-16;1977
"918";2014-01-17;1323
"919";2014-01-18;1063
"920";2014-01-19;750
"921";2014-01-20;1745
"922";2014-01-21;1037
"923";2014-01-22;1846
"924";2014-01-23;1840
"925";2014-01-24;1199
"926";2014-01-25;1071
"927";2014-01-26;402
"928";2014-01-27;1082
"929";2014-01-28;1615
"930";2014-01-29;1645
"931";2014-01-30;1582
"932";2014-01-31;1518
"933";2014-02-01;1104
"934";2014-02-02;506
"935";2014-02-03;1464
"936";2014-02-04;1847
"937";2014-02-05;1946
"938";2014-02-06;2131
"939";2014-02-07;1779
"940";2014-02-08;1370
"941";2014-02-09;618
"942";2014-02-10;1703
"943";2014-02-11;1973
"944";2014-02-12;1865
"945";2014-02-13;1796
"946";2014-02-14;1830
"947";2014-02-15;1877
"948";2014-02-16;623
"949";2014-02-17;1982
"950";2014-02-18;2235
"951";2014-02-19;1562
"952";2014-02-20;2272
"953";2014-02-21;1261
"954";2014-02-22;1233
"955";2014-02-23;1213
"956";2014-02-24;2459
"957";2014-02-25;2612
"958";2014-02-26;2418
